i,rP[i],T[i],Se[i],Sw[i],aE[i],aW[i],aP[i],bP[i],P[i],R[i]
956,9.636,28.0398,30.285,30.2598,1.13569e+06,1.13474e+06,2.27046e+06,726.537,0.995386,0.133641
957,9.644,28.0355,30.3101,30.285,1.13663e+06,1.13569e+06,2.27234e+06,727.14,0.995386,0.13355
958,9.652,28.0313,30.3352,30.3101,1.13757e+06,1.13663e+06,2.27423e+06,727.744,0.995385,0.133461
959,9.66,28.0271,30.3604,30.3352,1.13851e+06,1.13757e+06,2.27611e+06,728.347,0.995385,0.133372
960,9.668,28.0231,30.3855,30.3604,1.13946e+06,1.13851e+06,2.278e+06,728.95,0.995385,0.133283
961,9.676,28.0191,30.4106,30.3855,1.1404e+06,1.13946e+06,2.27988e+06,729.553,0.995384,0.133195
962,9.684,28.0152,30.4357,30.4106,1.14134e+06,1.1404e+06,2.28177e+06,730.156,0.995384,0.133108
963,9.692,28.0114,30.4609,30.4357,1.14228e+06,1.14134e+06,2.28365e+06,730.76,0.995384,0.133021
964,9.7,28.0077,30.486,30.4609,1.14323e+06,1.14228e+06,2.28554e+06,731.363,0.995383,0.132934
965,9.708,28.0041,30.5111,30.486,1.14417e+06,1.14323e+06,2.28742e+06,731.966,0.995383,0.132848
966,9.716,28.0005,30.5363,30.5111,1.14511e+06,1.14417e+06,2.28931e+06,732.569,0.995383,0.132763
967,9.724,27.997,30.5614,30.5363,1.14605e+06,1.14511e+06,2.29119e+06,733.172,0.995382,0.132678
968,9.732,27.9936,30.5865,30.5614,1.147e+06,1.14605e+06,2.29308e+06,733.776,0.995382,0.132593
969,9.74,27.9903,30.6117,30.5865,1.14794e+06,1.147e+06,2.29496e+06,734.379,0.995381,0.132509
970,9.748,27.987,30.6368,30.6117,1.14888e+06,1.14794e+06,2.29685e+06,734.982,0.995381,0.132426
971,9.756,27.9839,30.6619,30.6368,1.14982e+06,1.14888e+06,2.29873e+06,735.585,0.995381,0.132343
972,9.764,27.9808,30.6871,30.6619,1.15077e+06,1.14982e+06,2.30062e+06,736.188,0.99538,0.13226
973,9.772,27.9778,30.7122,30.6871,1.15171e+06,1.15077e+06,2.3025e+06,736.791,0.99538,0.132178
974,9.78,27.9748,30.7373,30.7122,1.15265e+06,1.15171e+06,2.30439e+06,737.395,0.99538,0.132097
975,9.788,27.972,30.7625,30.7373,1.15359e+06,1.15265e+06,2.30627e+06,737.998,0.995379,0.132016
976,9.796,27.9692,30.7876,30.7625,1.15454e+06,1.15359e+06,2.30816e+06,738.601,0.995379,0.131935
977,9.804,27.9665,30.8127,30.7876,1.15548e+06,1.15454e+06,2.31004e+06,739.204,0.995378,0.131855
978,9.812,27.9639,30.8379,30.8127,1.15642e+06,1.15548e+06,2.31193e+06,739.807,0.995378,0.131775
979,9.82,27.9613,30.863,30.8379,1.15736e+06,1.15642e+06,2.31381e+06,740.411,0.995378,0.131696
980,9.828,27.9589,30.8881,30.863,1.15831e+06,1.15736e+06,2.3157e+06,741.014,0.995377,0.131618
981,9.836,27.9565,30.9133,30.8881,1.15925e+06,1.15831e+06,2.31758e+06,741.617,0.995377,0.131539
982,9.844,27.9542,30.9384,30.9133,1.16019e+06,1.15925e+06,2.31947e+06,742.22,0.995377,0.131462
983,9.852,27.9519,30.9635,30.9384,1.16113e+06,1.16019e+06,2.32135e+06,742.823,0.995376,0.131384
984,9.86,27.9498,30.9887,30.9635,1.16208e+06,1.16113e+06,2.32324e+06,743.426,0.995376,0.131308
985,9.868,27.9477,31.0138,30.9887,1.16302e+06,1.16208e+06,2.32512e+06,744.03,0.995376,0.131231
986,9.876,27.9457,31.0389,31.0138,1.16396e+06,1.16302e+06,2.32701e+06,744.633,0.995375,0.131155
987,9.884,27.9438,31.0641,31.0389,1.1649e+06,1.16396e+06,2.32889e+06,745.236,0.995375,0.13108
988,9.892,27.9419,31.0892,31.0641,1.16585e+06,1.1649e+06,2.33078e+06,745.839,0.995375,0.131005
989,9.9,27.9402,31.1143,31.0892,1.16679e+06,1.16585e+06,2.33266e+06,746.442,0.995374,0.13093
990,9.908,27.9385,31.1395,31.1143,1.16773e+06,1.16679e+06,2.33455e+06,747.046,0.995374,0.130856
991,9.916,27.9369,31.1646,31.1395,1.16867e+06,1.16773e+06,2.33643e+06,747.649,0.995373,0.130783
992,9.924,27.9353,31.1897,31.1646,1.16961e+06,1.16867e+06,2.33832e+06,748.252,0.995373,0.130709
993,9.932,27.9339,31.2149,31.1897,1.17056e+06,1.16961e+06,2.3402e+06,748.855,0.995373,0.130637
994,9.94,27.9325,31.24,31.2149,1.1715e+06,1.17056e+06,2.34209e+06,749.458,0.995372,0.130564
995,9.948,27.9312,31.2651,31.24,1.17244e+06,1.1715e+06,2.34397e+06,750.062,0.995372,0.130492
996,9.956,27.9299,31.2903,31.2651,1.17338e+06,1.17244e+06,2.34586e+06,750.665,0.995372,0.130421
997,9.964,27.9288,31.3154,31.2903,1.17433e+06,1.17338e+06,2.34774e+06,751.268,0.995371,0.13035
998,9.972,27.9277,31.3405,31.3154,1.17527e+06,1.17433e+06,2.34963e+06,751.871,0.995371,0.130279
999,9.98,27.9267,31.3657,31.3405,1.17621e+06,1.17527e+06,2.35151e+06,752.474,0.995371,0.130209
1000,9.988,27.9258,31.3908,31.3657,1.17715e+06,1.17621e+06,2.3534e+06,753.077,0.99537,0.130139
1001,9.996,27.9249,31.4096,31.3908,1.17786e+06,1.17715e+06,2.35505e+06,753.681,0.995369,0.130096
1002,10,27.9241,15.708,31.4096,0,75000,75020,500,0,27.9241
