i,x1[i],T1[i],P1[i],v1[i],rho1[i],alfa1[i],T3[i],P3[i],v3[i],rho3[i],alfa3[i]
245,0.245,975.949,1.60999e+07,6.51751,26.8615,4482.47,529.46,1.49994e+07,9.34207,6.81454,3128.14
246,0.246,975.857,1.60999e+07,6.5169,26.8641,4482.44,530.163,1.49994e+07,9.35448,6.80551,3128.89
247,0.247,975.765,1.60999e+07,6.51628,26.8666,4482.42,530.861,1.49994e+07,9.36679,6.79656,3129.63
248,0.248,975.673,1.60999e+07,6.51567,26.8692,4482.39,531.553,1.49994e+07,9.37901,6.78771,3130.37
249,0.249,975.581,1.60999e+07,6.51505,26.8717,4482.37,532.241,1.49994e+07,9.39115,6.77894,3131.1
250,0.25,975.488,1.60999e+07,6.51444,26.8742,4482.35,532.924,1.49994e+07,9.40319,6.77025,3131.82
251,0.251,975.396,1.60999e+07,6.51382,26.8768,4482.32,533.601,1.49994e+07,9.41515,6.76165,3132.54
252,0.252,975.304,1.60999e+07,6.51321,26.8793,4482.3,534.274,1.49994e+07,9.42702,6.75314,3133.25
253,0.253,975.213,1.60999e+07,6.51259,26.8818,4482.28,534.942,1.49994e+07,9.43881,6.74471,3133.95
254,0.254,975.121,1.60999e+07,6.51198,26.8844,4482.25,535.605,1.49994e+07,9.4505,6.73636,3134.65
255,0.255,975.029,1.60999e+07,6.51137,26.8869,4482.23,536.263,1.49994e+07,9.46212,6.72809,3135.34
256,0.256,974.937,1.60999e+07,6.51076,26.8894,4482.2,536.916,1.49994e+07,9.47365,6.7199,3136.02
257,0.257,974.845,1.60999e+07,6.51014,26.892,4482.18,537.565,1.49994e+07,9.48509,6.71179,3136.7
258,0.258,974.754,1.60999e+07,6.50953,26.8945,4482.16,538.209,1.49994e+07,9.49645,6.70376,3137.37
259,0.259,974.662,1.60999e+07,6.50892,26.897,4482.13,538.848,1.49994e+07,9.50773,6.69581,3138.04
260,0.26,974.57,1.60999e+07,6.50831,26.8995,4482.11,539.482,1.49994e+07,9.51893,6.68794,3138.7
261,0.261,974.479,1.60999e+07,6.5077,26.9021,4482.09,540.112,1.49994e+07,9.53004,6.68014,3139.35
262,0.262,974.387,1.60999e+07,6.50708,26.9046,4482.06,540.738,1.49994e+07,9.54108,6.67241,3140
263,0.263,974.296,1.60999e+07,6.50647,26.9071,4482.04,541.358,1.49994e+07,9.55203,6.66476,3140.64
264,0.264,974.204,1.60999e+07,6.50586,26.9096,4482.01,541.974,1.49994e+07,9.5629,6.65718,3141.28
265,0.265,974.113,1.60999e+07,6.50525,26.9122,4481.99,542.586,1.49994e+07,9.57369,6.64968,3141.91
266,0.266,974.022,1.60999e+07,6.50464,26.9147,4481.97,543.193,1.49994e+07,9.58441,6.64225,3142.53
267,0.267,973.93,1.60999e+07,6.50403,26.9172,4481.94,543.796,1.49994e+07,9.59504,6.63488,3143.15
268,0.268,973.839,1.60999e+07,6.50342,26.9197,4481.92,544.394,1.49994e+07,9.6056,6.62759,3143.76
269,0.269,973.748,1.60999e+07,6.50282,26.9222,4481.89,544.988,1.49994e+07,9.61608,6.62037,3144.37
270,0.27,973.657,1.60999e+07,6.50221,26.9248,4481.87,545.578,1.49994e+07,9.62648,6.61321,3144.97
271,0.271,973.566,1.60999e+07,6.5016,26.9273,4481.85,546.163,1.49994e+07,9.63681,6.60613,3145.57
272,0.272,973.475,1.60999e+07,6.50099,26.9298,4481.82,546.744,1.49994e+07,9.64706,6.59911,3146.16
273,0.273,973.384,1.60999e+07,6.50038,26.9323,4481.8,547.32,1.49994e+07,9.65723,6.59215,3146.74
274,0.274,973.293,1.60999e+07,6.49978,26.9348,4481.78,547.893,1.49994e+07,9.66733,6.58527,3147.32
275,0.275,973.202,1.60999e+07,6.49917,26.9374,4481.75,548.461,1.49994e+07,9.67736,6.57844,3147.9
276,0.276,973.111,1.60999e+07,6.49856,26.9399,4481.73,549.025,1.49994e+07,9.68731,6.57169,3148.47
277,0.277,973.02,1.60999e+07,6.49796,26.9424,4481.7,549.585,1.49994e+07,9.69719,6.56499,3149.03
278,0.278,972.929,1.60999e+07,6.49735,26.9449,4481.68,550.14,1.49994e+07,9.707,6.55836,3149.59
279,0.279,972.838,1.60999e+07,6.49674,26.9474,4481.66,550.692,1.49994e+07,9.71673,6.55179,3150.15
280,0.28,972.748,1.60999e+07,6.49614,26.9499,4481.63,551.24,1.49994e+07,9.7264,6.54528,3150.7
281,0.281,972.657,1.60999e+07,6.49553,26.9524,4481.61,551.783,1.49994e+07,9.73599,6.53883,3151.24
282,0.282,972.566,1.60999e+07,6.49493,26.9549,4481.59,552.323,1.49994e+07,9.74551,6.53244,3151.78
283,0.283,972.476,1.60999e+07,6.49432,26.9575,4481.56,552.858,1.49994e+07,9.75496,6.52612,3152.32
284,0.284,972.385,1.60999e+07,6.49372,26.96,4481.54,553.39,1.49994e+07,9.76434,6.51985,3152.85
285,0.285,972.295,1.60999e+07,6.49312,26.9625,4481.51,553.918,1.49994e+07,9.77365,6.51363,3153.37
286,0.286,972.205,1.60999e+07,6.49251,26.965,4481.49,554.441,1.49994e+07,9.78289,6.50748,3153.89
287,0.287,972.114,1.60999e+07,6.49191,26.9675,4481.47,554.961,1.49994e+07,9.79207,6.50138,3154.41
288,0.288,972.024,1.60999e+07,6.49131,26.97,4481.44,555.477,1.49994e+07,9.80117,6.49534,3154.92
289,0.289,971.934,1.60999e+07,6.4907,26.9725,4481.42,555.99,1.49994e+07,9.81021,6.48936,3155.43
290,0.29,971.843,1.60999e+07,6.4901,26.975,4481.4,556.498,1.49993e+07,9.81919,6.48343,3155.93
291,0.291,971.753,1.60999e+07,6.4895,26.9775,4481.37,557.003,1.49993e+07,9.82809,6.47755,3156.43
292,0.292,971.663,1.60999e+07,6.4889,26.98,4481.35,557.504,1.49993e+07,9.83693,6.47173,3156.93
293,0.293,971.573,1.60999e+07,6.4883,26.9825,4481.32,558.001,1.49993e+07,9.84571,6.46596,3157.42
294,0.294,971.483,1.60999e+07,6.48769,26.985,4481.3,558.494,1.49993e+07,9.85442,6.46025,3157.9
295,0.295,971.393,1.60999e+07,6.48709,26.9875,4481.28,558.984,1.49993e+07,9.86306,6.45459,3158.38
296,0.296,971.303,1.60999e+07,6.48649,26.99,4481.25,559.471,1.49993e+07,9.87164,6.44898,3158.86
297,0.297,971.213,1.60999e+07,6.48589,26.9925,4481.23,559.953,1.49993e+07,9.88016,6.44342,3159.33
298,0.298,971.123,1.60999e+07,6.48529,26.995,4481.21,560.432,1.49993e+07,9.88861,6.43791,3159.8
299,0.299,971.033,1.60999e+07,6.48469,26.9975,4481.18,560.908,1.49993e+07,9.89701,6.43245,3160.26
300,0.3,970.943,1.60999e+07,6.48409,27,4481.16,561.38,1.49993e+07,9.90534,6.42704,3160.73
301,0.301,970.854,1.60999e+07,6.48349,27.0025,4481.13,561.849,1.49993e+07,9.9136,6.42168,3161.18
302,0.302,970.764,1.60999e+07,6.4829,27.005,4481.11,562.314,1.49993e+07,9.92181,6.41637,3161.63
303,0.303,970.674,1.60999e+07,6.4823,27.0075,4481.09,562.775,1.49993e+07,9.92995,6.4111,3162.08
304,0.304,970.585,1.60999e+07,6.4817,27.01,4481.06,563.233,1.49993e+07,9.93804,6.40589,3162.53
305,0.305,970.495,1.60999e+07,6.4811,27.0125,4481.04,563.688,1.49993e+07,9.94606,6.40072,3162.97
306,0.306,970.406,1.60999e+07,6.4805,27.0149,4481.02,564.139,1.49993e+07,9.95403,6.3956,3163.4
307,0.307,970.316,1.60999e+07,6.47991,27.0174,4480.99,564.587,1.49993e+07,9.96193,6.39052,3163.84
308,0.308,970.227,1.60999e+07,6.47931,27.0199,4480.97,565.032,1.49993e+07,9.96978,6.38549,3164.27
309,0.309,970.137,1.60999e+07,6.47871,27.0224,4480.94,565.473,1.49993e+07,9.97757,6.38051,3164.69
310,0.31,970.048,1.60999e+07,6.47812,27.0249,4480.92,565.912,1.49993e+07,9.9853,6.37557,3165.12
311,0.311,969.959,1.60999e+07,6.47752,27.0274,4480.9,566.346,1.49993e+07,9.99297,6.37067,3165.53
312,0.312,969.87,1.60999e+07,6.47692,27.0299,4480.87,566.778,1.49993e+07,10.0006,6.36582,3165.95
313,0.313,969.78,1.60999e+07,6.47633,27.0324,4480.85,567.206,1.49993e+07,10.0081,6.36102,3166.36
314,0.314,969.691,1.60999e+07,6.47573,27.0348,4480.83,567.631,1.49993e+07,10.0156,6.35625,3166.77
315,0.315,969.602,1.60999e+07,6.47514,27.0373,4480.8,568.053,1.49993e+07,10.0231,6.35153,3167.17
316,0.316,969.513,1.60999e+07,6.47454,27.0398,4480.78,568.472,1.49993e+07,10.0305,6.34685,3167.57
317,0.317,969.424,1.60999e+07,6.47395,27.0423,4480.75,568.888,1.49993e+07,10.0378,6.34221,3167.97
318,0.318,969.335,1.60999e+07,6.47336,27.0448,4480.73,569.301,1.49993e+07,10.0451,6.33761,3168.36
319,0.319,969.246,1.60999e+07,6.47276,27.0473,4480.71,569.71,1.49993e+07,10.0523,6.33306,3168.75
320,0.32,969.157,1.60999e+07,6.47217,27.0497,4480.68,570.117,1.49993e+07,10.0595,6.32854,3169.14
321,0.321,969.068,1.60999e+07,6.47158,27.0522,4480.66,570.52,1.49993e+07,10.0666,6.32406,3169.52
322,0.322,968.98,1.60999e+07,6.47098,27.0547,4480.64,570.921,1.49993e+07,10.0737,6.31963,3169.9
323,0.323,968.891,1.60999e+07,6.47039,27.0572,4480.61,571.318,1.49993e+07,10.0807,6.31523,3170.28
324,0.324,968.802,1.60999e+07,6.4698,27.0596,4480.59,571.712,1.49993e+07,10.0877,6.31087,3170.66
325,0.325,968.714,1.60999e+07,6.46921,27.0621,4480.56,572.104,1.49993e+07,10.0946,6.30655,3171.03
326,0.326,968.625,1.60999e+07,6.46861,27.0646,4480.54,572.493,1.49993e+07,10.1014,6.30227,3171.39
327,0.327,968.536,1.60999e+07,6.46802,27.0671,4480.52,572.878,1.49993e+07,10.1082,6.29803,3171.76
328,0.328,968.448,1.60999e+07,6.46743,27.0695,4480.49,573.261,1.49993e+07,10.115,6.29382,3172.12
329,0.329,968.359,1.60999e+07,6.46684,27.072,4480.47,573.641,1.49993e+07,10.1217,6.28965,3172.48
330,0.33,968.271,1.60999e+07,6.46625,27.0745,4480.45,574.018,1.49993e+07,10.1284,6.28552,3172.83
331,0.331,968.183,1.60999e+07,6.46566,27.077,4480.42,574.392,1.49993e+07,10.135,6.28143,3173.19
332,0.332,968.094,1.60999e+07,6.46507,27.0794,4480.4,574.764,1.49993e+07,10.1415,6.27737,3173.53
333,0.333,968.006,1.60999e+07,6.46448,27.0819,4480.37,575.132,1.49993e+07,10.148,6.27334,3173.88
334,0.334,967.918,1.60999e+07,6.46389,27.0844,4480.35,575.498,1.49993e+07,10.1545,6.26935,3174.22
335,0.335,967.829,1.60999e+07,6.4633,27.0868,4480.33,575.862,1.49993e+07,10.1609,6.2654,3174.56
336,0.336,967.741,1.60999e+07,6.46272,27.0893,4480.3,576.222,1.49993e+07,10.1672,6.26148,3174.9
337,0.337,967.653,1.60999e+07,6.46213,27.0918,4480.28,576.58,1.49993e+07,10.1736,6.25759,3175.24
338,0.338,967.565,1.60999e+07,6.46154,27.0942,4480.26,576.935,1.49993e+07,10.1798,6.25374,3175.57
339,0.339,967.477,1.60999e+07,6.46095,27.0967,4480.23,577.287,1.49993e+07,10.186,6.24992,3175.9
340,0.34,967.389,1.60999e+07,6.46036,27.0992,4480.21,577.637,1.49993e+07,10.1922,6.24614,3176.22
341,0.341,967.301,1.60999e+07,6.45978,27.1016,4480.19,577.984,1.49993e+07,10.1983,6.24239,3176.55
342,0.342,967.213,1.60999e+07,6.45919,27.1041,4480.16,578.329,1.49993e+07,10.2044,6.23867,3176.87
343,0.343,967.125,1.60999e+07,6.4586,27.1065,4480.14,578.671,1.49993e+07,10.2105,6.23498,3177.19
344,0.344,967.038,1.60998e+07,6.45802,27.109,4480.11,579.01,1.49993e+07,10.2164,6.23133,3177.5
345,0.345,966.95,1.60998e+07,6.45743,27.1115,4480.09,579.347,1.49993e+07,10.2224,6.2277,3177.81
346,0.346,966.862,1.60998e+07,6.45685,27.1139,4480.07,579.681,1.49993e+07,10.2283,6.22411,3178.12
347,0.347,966.774,1.60998e+07,6.45626,27.1164,4480.04,580.013,1.49993e+07,10.2341,6.22055,3178.43
348,0.348,966.687,1.60998e+07,6.45568,27.1188,4480.02,580.342,1.49993e+07,10.24,6.21702,3178.74
349,0.349,966.599,1.60998e+07,6.45509,27.1213,4480,580.669,1.49993e+07,10.2457,6.21352,3179.04
350,0.35,966.512,1.60998e+07,6.45451,27.1238,4479.97,580.993,1.49993e+07,10.2514,6.21005,3179.34
351,0.351,966.424,1.60998e+07,6.45392,27.1262,4479.95,581.315,1.49993e+07,10.2571,6.20661,3179.64
352,0.352,966.337,1.60998e+07,6.45334,27.1287,4479.93,581.635,1.49993e+07,10.2628,6.2032,3179.93
353,0.353,966.249,1.60998e+07,6.45275,27.1311,4479.9,581.952,1.49993e+07,10.2684,6.19982,3180.22
354,0.354,966.162,1.60998e+07,6.45217,27.1336,4479.88,582.266,1.49993e+07,10.2739,6.19647,3180.51
355,0.355,966.075,1.60998e+07,6.45159,27.136,4479.85,582.579,1.49993e+07,10.2794,6.19315,3180.8
356,0.356,965.987,1.60998e+07,6.45101,27.1385,4479.83,582.889,1.49993e+07,10.2849,6.18985,3181.09
357,0.357,965.9,1.60998e+07,6.45042,27.1409,4479.81,583.196,1.49993e+07,10.2903,6.18659,3181.37
358,0.358,965.813,1.60998e+07,6.44984,27.1434,4479.78,583.502,1.49993e+07,10.2957,6.18335,3181.65
359,0.359,965.726,1.60998e+07,6.44926,27.1458,4479.76,583.805,1.49993e+07,10.3011,6.18014,3181.93
360,0.36,965.639,1.60998e+07,6.44868,27.1483,4479.74,584.105,1.49993e+07,10.3064,6.17696,3182.2
361,0.361,965.552,1.60998e+07,6.4481,27.1507,4479.71,584.404,1.49993e+07,10.3116,6.1738,3182.48
362,0.362,965.465,1.60998e+07,6.44752,27.1532,4479.69,584.7,1.49993e+07,10.3169,6.17068,3182.75
363,0.363,965.378,1.60998e+07,6.44693,27.1556,4479.66,584.994,1.49993e+07,10.322,6.16757,3183.02
364,0.364,965.291,1.60998e+07,6.44635,27.1581,4479.64,585.286,1.49993e+07,10.3272,6.1645,3183.28
365,0.365,965.204,1.60998e+07,6.44577,27.1605,4479.62,585.575,1.49993e+07,10.3323,6.16145,3183.55
366,0.366,965.117,1.60998e+07,6.44519,27.1629,4479.59,585.863,1.49993e+07,10.3374,6.15843,3183.81
367,0.367,965.03,1.60998e+07,6.44462,27.1654,4479.57,586.148,1.49993e+07,10.3424,6.15543,3184.07
368,0.368,964.943,1.60998e+07,6.44404,27.1678,4479.55,586.431,1.49993e+07,10.3474,6.15246,3184.33
369,0.369,964.857,1.60998e+07,6.44346,27.1703,4479.52,586.712,1.49993e+07,10.3524,6.14951,3184.59
370,0.37,964.77,1.60998e+07,6.44288,27.1727,4479.5,586.991,1.49993e+07,10.3573,6.14659,3184.84
371,0.371,964.683,1.60998e+07,6.4423,27.1751,4479.48,587.267,1.49993e+07,10.3622,6.1437,3185.09
372,0.372,964.597,1.60998e+07,6.44172,27.1776,4479.45,587.542,1.49993e+07,10.367,6.14082,3185.34
373,0.373,964.51,1.60998e+07,6.44114,27.18,4479.43,587.815,1.49993e+07,10.3718,6.13798,3185.59
374,0.374,964.424,1.60998e+07,6.44057,27.1825,4479.41,588.085,1.49993e+07,10.3766,6.13515,3185.83
375,0.375,964.337,1.60998e+07,6.43999,27.1849,4479.38,588.353,1.49993e+07,10.3813,6.13235,3186.08
376,0.376,964.251,1.60998e+07,6.43941,27.1873,4479.36,588.62,1.49993e+07,10.386,6.12958,3186.32
377,0.377,964.165,1.60998e+07,6.43884,27.1898,4479.33,588.884,1.49993e+07,10.3907,6.12682,3186.56
378,0.378,964.078,1.60998e+07,6.43826,27.1922,4479.31,589.147,1.49992e+07,10.3953,6.1241,3186.8
379,0.379,963.992,1.60998e+07,6.43768,27.1946,4479.29,589.407,1.49992e+07,10.3999,6.12139,3187.03
380,0.38,963.906,1.60998e+07,6.43711,27.1971,4479.26,589.665,1.49992e+07,10.4045,6.11871,3187.26
381,0.381,963.82,1.60998e+07,6.43653,27.1995,4479.24,589.922,1.49992e+07,10.409,6.11605,3187.5
382,0.382,963.734,1.60998e+07,6.43596,27.2019,4479.22,590.176,1.49992e+07,10.4135,6.11341,3187.73
383,0.383,963.647,1.60998e+07,6.43538,27.2043,4479.19,590.429,1.49992e+07,10.418,6.11079,3187.95
384,0.384,963.561,1.60998e+07,6.43481,27.2068,4479.17,590.68,1.49992e+07,10.4224,6.1082,3188.18
385,0.385,963.475,1.60998e+07,6.43424,27.2092,4479.15,590.929,1.49992e+07,10.4268,6.10563,3188.4
386,0.386,963.389,1.60998e+07,6.43366,27.2116,4479.12,591.175,1.49992e+07,10.4311,6.10308,3188.63
387,0.387,963.304,1.60998e+07,6.43309,27.2141,4479.1,591.42,1.49992e+07,10.4355,6.10055,3188.85
388,0.388,963.218,1.60998e+07,6.43251,27.2165,4479.07,591.664,1.49992e+07,10.4397,6.09804,3189.07
389,0.389,963.132,1.60998e+07,6.43194,27.2189,4479.05,591.905,1.49992e+07,10.444,6.09555,3189.28
390,0.39,963.046,1.60998e+07,6.43137,27.2213,4479.03,592.145,1.49992e+07,10.4482,6.09309,3189.5
391,0.391,962.96,1.60998e+07,6.4308,27.2238,4479,592.382,1.49992e+07,10.4524,6.09064,3189.71
392,0.392,962.875,1.60998e+07,6.43022,27.2262,4478.98,592.618,1.49992e+07,10.4566,6.08822,3189.92
393,0.393,962.789,1.60998e+07,6.42965,27.2286,4478.96,592.852,1.49992e+07,10.4607,6.08581,3190.13
394,0.394,962.703,1.60998e+07,6.42908,27.231,4478.93,593.085,1.49992e+07,10.4648,6.08343,3190.34
395,0.395,962.618,1.60998e+07,6.42851,27.2334,4478.91,593.315,1.49992e+07,10.4689,6.08106,3190.55
396,0.396,962.532,1.60998e+07,6.42794,27.2359,4478.89,593.544,1.49992e+07,10.4729,6.07872,3190.75
397,0.397,962.447,1.60998e+07,6.42737,27.2383,4478.86,593.771,1.49992e+07,10.4769,6.07639,3190.95
398,0.398,962.361,1.60998e+07,6.4268,27.2407,4478.84,593.996,1.49992e+07,10.4809,6.07409,3191.16
399,0.399,962.276,1.60998e+07,6.42623,27.2431,4478.82,594.22,1.49992e+07,10.4849,6.0718,3191.36
400,0.4,962.191,1.60998e+07,6.42566,27.2455,4478.79,594.442,1.49992e+07,10.4888,6.06953,3191.55
401,0.401,962.105,1.60998e+07,6.42509,27.2479,4478.77,594.662,1.49992e+07,10.4927,6.06728,3191.75
402,0.402,962.02,1.60998e+07,6.42452,27.2504,4478.74,594.881,1.49992e+07,10.4965,6.06505,3191.95
403,0.403,961.935,1.60998e+07,6.42395,27.2528,4478.72,595.098,1.49992e+07,10.5004,6.06284,3192.14
404,0.404,961.85,1.60998e+07,6.42338,27.2552,4478.7,595.313,1.49992e+07,10.5042,6.06065,3192.33
405,0.405,961.764,1.60998e+07,6.42281,27.2576,4478.67,595.527,1.49992e+07,10.5079,6.05847,3192.52
406,0.406,961.679,1.60998e+07,6.42224,27.26,4478.65,595.739,1.49992e+07,10.5117,6.05632,3192.71
407,0.407,961.594,1.60998e+07,6.42168,27.2624,4478.63,595.949,1.49992e+07,10.5154,6.05418,3192.9
408,0.408,961.509,1.60998e+07,6.42111,27.2648,4478.6,596.158,1.49992e+07,10.5191,6.05206,3193.08
409,0.409,961.424,1.60998e+07,6.42054,27.2672,4478.58,596.365,1.49992e+07,10.5227,6.04995,3193.27
410,0.41,961.339,1.60998e+07,6.41998,27.2696,4478.56,596.571,1.49992e+07,10.5264,6.04787,3193.45
411,0.411,961.255,1.60998e+07,6.41941,27.272,4478.53,596.775,1.49992e+07,10.53,6.0458,3193.63
412,0.412,961.17,1.60998e+07,6.41884,27.2745,4478.51,596.978,1.49992e+07,10.5335,6.04375,3193.81
413,0.413,961.085,1.60998e+07,6.41828,27.2769,4478.49,597.179,1.49992e+07,10.5371,6.04171,3193.99
414,0.414,961,1.60998e+07,6.41771,27.2793,4478.46,597.378,1.49992e+07,10.5406,6.03969,3194.16
415,0.415,960.915,1.60998e+07,6.41715,27.2817,4478.44,597.576,1.49992e+07,10.5441,6.03769,3194.34
416,0.416,960.831,1.60998e+07,6.41658,27.2841,4478.42,597.773,1.49992e+07,10.5476,6.03571,3194.51
417,0.417,960.746,1.60998e+07,6.41601,27.2865,4478.39,597.968,1.49992e+07,10.551,6.03374,3194.69
418,0.418,960.662,1.60998e+07,6.41545,27.2889,4478.37,598.161,1.49992e+07,10.5544,6.03179,3194.86
419,0.419,960.577,1.60998e+07,6.41489,27.2913,4478.34,598.353,1.49992e+07,10.5578,6.02985,3195.03
420,0.42,960.493,1.60998e+07,6.41432,27.2937,4478.32,598.544,1.49992e+07,10.5612,6.02793,3195.2
421,0.421,960.408,1.60998e+07,6.41376,27.2961,4478.3,598.733,1.49992e+07,10.5645,6.02603,3195.36
422,0.422,960.324,1.60998e+07,6.41319,27.2985,4478.27,598.921,1.49992e+07,10.5678,6.02414,3195.53
423,0.423,960.239,1.60998e+07,6.41263,27.3009,4478.25,599.107,1.49992e+07,10.5711,6.02226,3195.69
424,0.424,960.155,1.60998e+07,6.41207,27.3033,4478.23,599.292,1.49992e+07,10.5744,6.02041,3195.86
425,0.425,960.071,1.60998e+07,6.41151,27.3057,4478.2,599.475,1.49992e+07,10.5776,6.01856,3196.02
426,0.426,959.987,1.60998e+07,6.41094,27.3081,4478.18,599.657,1.49992e+07,10.5808,6.01674,3196.18
427,0.427,959.902,1.60998e+07,6.41038,27.3105,4478.16,599.838,1.49992e+07,10.584,6.01493,3196.34
428,0.428,959.818,1.60998e+07,6.40982,27.3128,4478.13,600.017,1.49992e+07,10.5872,6.01313,3196.49
429,0.429,959.734,1.60998e+07,6.40926,27.3152,4478.11,600.195,1.49992e+07,10.5903,6.01135,3196.65
430,0.43,959.65,1.60998e+07,6.4087,27.3176,4478.09,600.371,1.49992e+07,10.5934,6.00958,3196.81
431,0.431,959.566,1.60998e+07,6.40814,27.32,4478.06,600.547,1.49992e+07,10.5965,6.00782,3196.96
432,0.432,959.482,1.60998e+07,6.40758,27.3224,4478.04,600.72,1.49992e+07,10.5996,6.00608,3197.11
433,0.433,959.398,1.60998e+07,6.40702,27.3248,4478.02,600.893,1.49992e+07,10.6026,6.00436,3197.26
434,0.434,959.314,1.60998e+07,6.40646,27.3272,4477.99,601.064,1.49992e+07,10.6056,6.00265,3197.42
435,0.435,959.23,1.60998e+07,6.4059,27.3296,4477.97,601.234,1.49992e+07,10.6086,6.00095,3197.56
436,0.436,959.147,1.60998e+07,6.40534,27.332,4477.95,601.403,1.49992e+07,10.6116,5.99927,3197.71
437,0.437,959.063,1.60998e+07,6.40478,27.3344,4477.92,601.57,1.49992e+07,10.6146,5.9976,3197.86
438,0.438,958.979,1.60998e+07,6.40422,27.3367,4477.9,601.736,1.49992e+07,10.6175,5.99594,3198
439,0.439,958.895,1.60998e+07,6.40366,27.3391,4477.88,601.901,1.49992e+07,10.6204,5.9943,3198.15
440,0.44,958.812,1.60998e+07,6.4031,27.3415,4477.85,602.064,1.49992e+07,10.6233,5.99267,3198.29
441,0.441,958.728,1.60998e+07,6.40254,27.3439,4477.83,602.227,1.49992e+07,10.6262,5.99106,3198.43
442,0.442,958.645,1.60998e+07,6.40198,27.3463,4477.8,602.388,1.49992e+07,10.629,5.98946,3198.58
443,0.443,958.561,1.60998e+07,6.40143,27.3487,4477.78,602.548,1.49992e+07,10.6318,5.98787,3198.72
444,0.444,958.478,1.60998e+07,6.40087,27.351,4477.76,602.706,1.49992e+07,10.6346,5.98629,3198.85
445,0.445,958.394,1.60998e+07,6.40031,27.3534,4477.73,602.864,1.49992e+07,10.6374,5.98473,3198.99
446,0.446,958.311,1.60998e+07,6.39976,27.3558,4477.71,603.02,1.49992e+07,10.6402,5.98318,3199.13
447,0.447,958.228,1.60998e+07,6.3992,27.3582,4477.69,603.175,1.49992e+07,10.6429,5.98164,3199.26
448,0.448,958.144,1.60998e+07,6.39864,27.3606,4477.66,603.329,1.49992e+07,10.6456,5.98011,3199.4
449,0.449,958.061,1.60998e+07,6.39809,27.3629,4477.64,603.481,1.49992e+07,10.6483,5.9786,3199.53
450,0.45,957.978,1.60998e+07,6.39753,27.3653,4477.62,603.633,1.49992e+07,10.651,5.9771,3199.66
451,0.451,957.895,1.60998e+07,6.39698,27.3677,4477.59,603.783,1.49992e+07,10.6536,5.97561,3199.79
452,0.452,957.811,1.60998e+07,6.39642,27.3701,4477.57,603.932,1.49992e+07,10.6563,5.97413,3199.92
453,0.453,957.728,1.60998e+07,6.39587,27.3724,4477.55,604.08,1.49992e+07,10.6589,5.97267,3200.05
454,0.454,957.645,1.60998e+07,6.39531,27.3748,4477.52,604.227,1.49992e+07,10.6615,5.97122,3200.18
455,0.455,957.562,1.60998e+07,6.39476,27.3772,4477.5,604.373,1.49992e+07,10.664,5.96978,3200.31
456,0.456,957.479,1.60998e+07,6.39421,27.3795,4477.48,604.518,1.49992e+07,10.6666,5.96835,3200.43
457,0.457,957.396,1.60998e+07,6.39365,27.3819,4477.45,604.661,1.49992e+07,10.6691,5.96693,3200.56
458,0.458,957.314,1.60998e+07,6.3931,27.3843,4477.43,604.804,1.49992e+07,10.6716,5.96552,3200.68
459,0.459,957.231,1.60998e+07,6.39255,27.3867,4477.41,604.945,1.49992e+07,10.6741,5.96413,3200.81
460,0.46,957.148,1.60998e+07,6.39199,27.389,4477.38,605.085,1.49992e+07,10.6766,5.96275,3200.93
461,0.461,957.065,1.60998e+07,6.39144,27.3914,4477.36,605.225,1.49992e+07,10.6791,5.96137,3201.05
462,0.462,956.983,1.60998e+07,6.39089,27.3938,4477.34,605.363,1.49992e+07,10.6815,5.96001,3201.17
463,0.463,956.9,1.60998e+07,6.39034,27.3961,4477.31,605.5,1.49992e+07,10.6839,5.95866,3201.29
464,0.464,956.817,1.60998e+07,6.38979,27.3985,4477.29,605.636,1.49992e+07,10.6863,5.95732,3201.41
465,0.465,956.735,1.60998e+07,6.38923,27.4008,4477.27,605.771,1.49992e+07,10.6887,5.956,3201.52
466,0.466,956.652,1.60998e+07,6.38868,27.4032,4477.24,605.905,1.49992e+07,10.6911,5.95468,3201.64
467,0.467,956.57,1.60998e+07,6.38813,27.4056,4477.22,606.038,1.49992e+07,10.6934,5.95337,3201.75
468,0.468,956.487,1.60998e+07,6.38758,27.4079,4477.2,606.17,1.49992e+07,10.6958,5.95208,3201.87
469,0.469,956.405,1.60998e+07,6.38703,27.4103,4477.17,606.301,1.49992e+07,10.6981,5.95079,3201.98
470,0.47,956.322,1.60998e+07,6.38648,27.4127,4477.15,606.431,1.49992e+07,10.7004,5.94951,3202.1
471,0.471,956.24,1.60998e+07,6.38593,27.415,4477.13,606.56,1.49992e+07,10.7026,5.94825,3202.21
472,0.472,956.158,1.60998e+07,6.38538,27.4174,4477.1,606.688,1.49992e+07,10.7049,5.94699,3202.32
473,0.473,956.076,1.60998e+07,6.38483,27.4197,4477.08,606.815,1.49992e+07,10.7071,5.94575,3202.43
474,0.474,955.993,1.60998e+07,6.38428,27.4221,4477.06,606.941,1.49992e+07,10.7094,5.94451,3202.54
475,0.475,955.911,1.60998e+07,6.38374,27.4244,4477.03,607.066,1.49992e+07,10.7116,5.94329,3202.64
476,0.476,955.829,1.60998e+07,6.38319,27.4268,4477.01,607.19,1.49992e+07,10.7138,5.94207,3202.75
477,0.477,955.747,1.60998e+07,6.38264,27.4292,4476.99,607.313,1.49992e+07,10.7159,5.94087,3202.86
