i,x1[i],T1[i],P1[i],v1[i],rho1[i],alfa1[i],T3[i],P3[i],v3[i],rho3[i],alfa3[i],T2[i],T4[i]
25,0.0125,998.153834652566,16099995.1602703,6.66575570991867,26.2641544364699,4487.88373538852,131.162249678371,14999963.4924929,2.31421092921059,27.5091507144831,2147.70457234291,717.254658270763,415.61613086686
26,0.013,998.080611025554,16099994.9662702,6.66526679666028,26.2660809750041,4487.86692207705,132.404442571766,14999962.0277588,2.33612825906729,27.2510625175073,2154.32332739646,717.324542014388,415.672703111359
27,0.0135,998.007457796531,16099994.772212,6.66477835353789,26.2680059432362,4487.85011429391,133.644870646105,14999960.5642884,2.35801445474488,26.9981284926626,2160.88861827675,717.526805063731,416.881705784012
28,0.014,997.934341595296,16099994.5781348,6.66429015768631,26.2699302189245,4487.83331214434,134.885743605944,14999959.0995993,2.37990850439495,26.7497582865872,2167.40111893816,717.601144403028,416.942044419579
29,0.0145,997.861296579259,16099994.3839986,6.66380243722817,26.2718529023357,4487.81651577099,136.124805097935,14999957.6362253,2.40177059677726,26.5062688843726,2173.86148184575,717.806502738064,418.150281088969
30,0.015,997.788289702187,16099994.189842,6.66331497146196,26.2737748629454,4487.79972527637,137.364262900795,14999956.1716862,2.42363968607813,26.2670963850135,2180.27035582942,717.885185407787,418.21431469079
31,0.0155,997.715354771003,16099993.9956255,6.66282798616955,26.2756952099753,4487.78294080016,138.601865372277,14999954.7085106,2.44547604416467,26.0325499358976,2186.62836842321,718.093538793617,419.421697975211
32,0.016,997.64245906118,16099993.8013873,6.66234126279795,26.2776148046732,4487.76616244221,139.839818057506,14999953.2442206,2.46731858582796,25.8020904160599,2192.93614462237,718.176455746726,419.489357141236
33,0.0165,997.569636032241,16099993.6070882,6.66185502480892,26.2795327651409,4487.74939033929,141.075874177036,14999951.7813397,2.48912766871917,25.5760192764707,2199.19428831763,718.387707088202,420.695802332427
34,0.017,997.496853279089,16099993.4127662,6.66136905578279,26.2814499444532,4487.73262458871,142.312236749458,14999950.3173928,2.51094216306536,25.3538206387994,2205.40340187862,718.474752368734,420.76701959747
