i,rP[i],T[i],Se[i],Sw[i],aE[i],aW[i],aP[i],bP[i]
424,8.76,29.0438,27.5455,27.4952,516478,515535,1.03207e+06,1320.98
425,8.776,29.0144,27.5957,27.5455,517420,516478,1.03395e+06,1323.39
426,8.792,28.9854,27.646,27.5957,518363,517420,1.03584e+06,1325.8
427,8.808,28.9568,27.6963,27.646,519305,518363,1.03772e+06,1328.22
428,8.824,28.9287,27.7465,27.6963,520248,519305,1.03961e+06,1330.63
429,8.84,28.9011,27.7968,27.7465,521190,520248,1.04149e+06,1333.04
430,8.856,28.8739,27.8471,27.7968,522133,521190,1.04338e+06,1335.45
431,8.872,28.8471,27.8973,27.8471,523075,522133,1.04526e+06,1337.87
432,8.888,28.8208,27.9476,27.8973,524018,523075,1.04715e+06,1340.28
433,8.904,28.795,27.9979,27.9476,524960,524018,1.04903e+06,1342.69
434,8.92,28.7695,28.0481,27.9979,525903,524960,1.05092e+06,1345.1
435,8.936,28.7445,28.0984,28.0481,526845,525903,1.0528e+06,1347.52
436,8.952,28.72,28.1487,28.0984,527788,526845,1.05469e+06,1349.93
437,8.968,28.6958,28.1989,28.1487,528730,527788,1.05657e+06,1352.34
438,8.984,28.6721,28.2492,28.1989,529673,528730,1.05846e+06,1354.76
439,9,28.6488,28.2995,28.2492,530615,529673,1.06034e+06,1357.17
440,9.016,28.6259,28.3497,28.2995,531557,530615,1.06223e+06,1359.58
441,9.032,28.6034,28.4,28.3497,532500,531557,1.06411e+06,1361.99
442,9.048,28.5813,28.4503,28.4,533442,532500,1.066e+06,1364.41
443,9.064,28.5597,28.5005,28.4503,534385,533442,1.06788e+06,1366.82
444,9.08,28.5384,28.5508,28.5005,535327,534385,1.06977e+06,1369.23
445,9.096,28.5175,28.6011,28.5508,536270,535327,1.07165e+06,1371.64
446,9.112,28.4971,28.6513,28.6011,537212,536270,1.07354e+06,1374.06
447,9.128,28.477,28.7016,28.6513,538155,537212,1.07542e+06,1376.47
448,9.144,28.4573,28.7519,28.7016,539097,538155,1.07731e+06,1378.88
449,9.16,28.438,28.8021,28.7519,540040,539097,1.07919e+06,1381.3
450,9.176,28.4191,28.8524,28.8021,540982,540040,1.08108e+06,1383.71
451,9.192,28.4006,28.9027,28.8524,541925,540982,1.08296e+06,1386.12
452,9.208,28.3824,28.9529,28.9027,542867,541925,1.08485e+06,1388.53
453,9.224,28.3646,29.0032,28.9529,543810,542867,1.08673e+06,1390.95
454,9.24,28.3472,29.0534,29.0032,544752,543810,1.08862e+06,1393.36
455,9.256,28.3302,29.1037,29.0534,545695,544752,1.0905e+06,1395.77
456,9.272,28.3136,29.154,29.1037,546637,545695,1.09239e+06,1398.18
457,9.288,28.2973,29.2042,29.154,547580,546637,1.09427e+06,1400.6
458,9.304,28.2814,29.2545,29.2042,548522,547580,1.09616e+06,1403.01
459,9.32,28.2658,29.3048,29.2545,549465,548522,1.09804e+06,1405.42
460,9.336,28.2506,29.355,29.3048,550407,549465,1.09993e+06,1407.84
461,9.352,28.2358,29.4053,29.355,551350,550407,1.10181e+06,1410.25
462,9.368,28.2213,29.4556,29.4053,552292,551350,1.1037e+06,1412.66
463,9.384,28.2072,29.5058,29.4556,553234,552292,1.10558e+06,1415.07
464,9.4,28.1934,29.5561,29.5058,554177,553234,1.10747e+06,1417.49
465,9.416,28.18,29.6064,29.5561,555119,554177,1.10935e+06,1419.9
466,9.432,28.1669,29.6566,29.6064,556062,555119,1.11124e+06,1422.31
467,9.448,28.1542,29.7069,29.6566,557004,556062,1.11312e+06,1424.72
468,9.464,28.1418,29.7572,29.7069,557947,557004,1.11501e+06,1427.14
469,9.48,28.1297,29.8074,29.7572,558889,557947,1.11689e+06,1429.55
470,9.496,28.118,29.8577,29.8074,559832,558889,1.11878e+06,1431.96
471,9.512,28.1067,29.908,29.8577,560774,559832,1.12066e+06,1434.38
472,9.528,28.0956,29.9582,29.908,561717,560774,1.12255e+06,1436.79
473,9.544,28.0849,30.0085,29.9582,562659,561717,1.12443e+06,1439.2
474,9.56,28.0746,30.0588,30.0085,563602,562659,1.12632e+06,1441.61
475,9.576,28.0645,30.109,30.0588,564544,563602,1.1282e+06,1444.03
476,9.592,28.0548,30.1593,30.109,565487,564544,1.13009e+06,1446.44
477,9.608,28.0455,30.2096,30.1593,566429,565487,1.13197e+06,1448.85
478,9.624,28.0364,30.2598,30.2096,567372,566429,1.13386e+06,1451.27
479,9.64,28.0277,30.3101,30.2598,568314,567372,1.13574e+06,1453.68
480,9.656,28.0193,30.3604,30.3101,569257,568314,1.13763e+06,1456.09
481,9.672,28.0113,30.4106,30.3604,570199,569257,1.13951e+06,1458.5
482,9.688,28.0035,30.4609,30.4106,571142,570199,1.1414e+06,1460.92
483,9.704,27.9961,30.5111,30.4609,572084,571142,1.14328e+06,1463.33
484,9.72,27.989,30.5614,30.5111,573027,572084,1.14517e+06,1465.74
485,9.736,27.9822,30.6117,30.5614,573969,573027,1.14705e+06,1468.15
486,9.752,27.9757,30.6619,30.6117,574911,573969,1.14894e+06,1470.57
487,9.768,27.9696,30.7122,30.6619,575854,574911,1.15082e+06,1472.98
488,9.784,27.9637,30.7625,30.7122,576796,575854,1.15271e+06,1475.39
489,9.8,27.9582,30.8127,30.7625,577739,576796,1.15459e+06,1477.81
490,9.816,27.953,30.863,30.8127,578681,577739,1.15648e+06,1480.22
491,9.832,27.948,30.9133,30.863,579624,578681,1.15836e+06,1482.63
492,9.848,27.9434,30.9635,30.9133,580566,579624,1.16025e+06,1485.04
493,9.864,27.9391,31.0138,30.9635,581509,580566,1.16213e+06,1487.46
494,9.88,27.9352,31.0641,31.0138,582451,581509,1.16402e+06,1489.87
495,9.896,27.9315,31.1143,31.0641,583394,582451,1.1659e+06,1492.28
496,9.912,27.9281,31.1646,31.1143,584336,583394,1.16779e+06,1494.69
497,9.928,27.925,31.2149,31.1646,585279,584336,1.16967e+06,1497.11
498,9.944,27.9223,31.2651,31.2149,586221,585279,1.17156e+06,1499.52
499,9.96,27.9198,31.3154,31.2651,587164,586221,1.17344e+06,1501.93
500,9.976,27.9177,31.3657,31.3154,588106,587164,1.17533e+06,1504.35
501,9.992,27.9158,31.4034,31.3657,588813,588106,1.17698e+06,1506.76
502,10,27.9143,15.708,31.4034,0,37500,37520,500
