i,x1[i],Tcc,Calor cambra,Calor extreta pel fluid,Calor intercanviada amb l'aire exterior,T3[i],P3[i],v3[i],rho3[i],alfa3[i],T2[i],T4[i],Temps execucio (s)
0,0,1327.93862144134,132801.650711152,132810.750588088,-9.0998769356271,200,15000000,1.5848191492551,18.1846395481194,1049.75692104024,630.394642064359,210.485872503951,0.142425000667572
1,0.0001220703125,1327.93862144134,132801.650711152,132810.750588088,-9.0998769356271,200.053055272646,14999999.9776931,1.58523956667285,18.1798168453796,1049.7886115485,630.394808624824,210.48613213838,0.142425000667572
2,0.000244140625,1327.93862144134,132801.650711152,132810.750588088,-9.0998769356271,200.106096020208,14999999.9553865,1.58565986899365,18.1749980192484,1049.82029040769,630.395140598964,210.486650042812,0.142425000667572
3,0.0003662109375,1327.93862144134,132801.650711152,132810.750588088,-9.0998769356271,200.159122305466,14999999.9330804,1.58608005671497,18.170183059896,1049.85195765718,630.395636847861,210.487424859945,0.142425000667572
4,0.00048828125,1327.93862144134,132801.650711152,132810.750588088,-9.0998769356271,200.212134190842,14999999.9107746,1.58650013033146,18.1653719575429,1049.88361333416,630.396296240409,210.48845523957,0.142425000667572
5,0.0006103515625,1327.93862144134,132801.650711152,132810.750588088,-9.0998769356271,200.265131738405,14999999.8884692,1.58692009033495,18.1605647024598,1049.91525747541,630.397117653265,210.489739838528,0.142425000667572
6,0.000732421875,1327.93862144134,132801.650711152,132810.750588088,-9.0998769356271,200.318115009869,14999999.8661642,1.58733993721449,18.1557612849673,1049.94689011966,630.398099970794,210.491277320673,0.142425000667572
7,0.0008544921875,1327.93862144134,132801.650711152,132810.750588088,-9.0998769356271,200.3710840666,14999999.8438595,1.58775967145633,18.1509616954356,1049.97851130256,630.399242085014,210.49306635684,0.142425000667572
8,0.0009765625,1327.93862144134,132801.650711152,132810.750588088,-9.0998769356271,200.424038969615,14999999.8215551,1.58817929354398,18.1461659242841,1050.01012106162,630.400542895551,210.495105624801,0.142425000667572
9,0.0010986328125,1327.93862144134,132801.650711152,132810.750588088,-9.0998769356271,200.476979779584,14999999.7992511,1.5885988039582,18.1413739619809,1050.04171943413,630.402001309577,210.497393809234,0.142425000667572
