i,x1[i],Tcc,Calor cambra,Calor extreta pel fluid,Calor intercanviada amb l'aire exterior,T3[i],P3[i],v3[i],rho3[i],alfa3[i],T2[i],T4[i],Temps execucio (s)
0,0,1327.93862108647,132801.90550403,132806.226910908,-4.3214068782384,200,15000000,1.5848191492551,18.1846395481194,1050.74463828279,630.477101907535,210.610899347632,0.0372910015285015
1,0.0078125,1327.93862108647,132801.90550403,132806.226910908,-4.3214068782384,203.368217592326,14999998.5727272,1.61150938128855,17.8834608800834,1052.73113740373,631.02696590743,211.51245313245,0.0372910015285015
2,0.015625,1327.93862108647,132801.90550403,132806.226910908,-4.3214068782384,206.690511370819,14999997.1441805,1.63783571377323,17.5960047371098,1054.68094617801,631.931136121538,213.057742356283,0.0372910015285015
3,0.0234375,1327.93862108647,132801.90550403,132806.226910908,-4.3214068782384,209.976579403712,14999995.712271,1.66387499528677,17.3206310929592,1056.59900000151,633.063418141602,215.061795739528,0.0372910015285015
4,0.03125,1327.93862108647,132801.90550403,132806.226910908,-4.3214068782384,213.233240253436,14999994.2755395,1.68968125689103,17.0560955568555,1058.48875064655,634.342434180106,217.391818739648,0.0372910015285015
5,0.0390625,1327.93862108647,132801.90550403,132806.226910908,-4.3214068782384,216.465318186993,14999992.832962,1.71529272663293,16.8014266781932,1060.35263312989,635.715750101016,219.952448310082,0.0372910015285015
6,0.046875,1327.93862108647,132801.90550403,132806.226910908,-4.3214068782384,219.676251797111,14999991.3838173,1.74073665232356,16.5558442971214,1062.19238525824,637.149612499676,222.675203275642,0.0372910015285015
7,0.0546875,1327.93862108647,132801.90550403,132806.226910908,-4.3214068782384,222.868513830485,14999989.9275947,1.76603262830265,16.3187047149065,1064.00926677764,638.622315419285,225.510920571923,0.0372910015285015
8,0.0625,1327.93862108647,132801.90550403,132806.226910908,-4.3214068782384,226.04390166247,14999988.4639306,1.79119489719167,16.0894635326093,1065.80420990019,640.119915317646,228.424324414962,0.0372910015285015
9,0.0703125,1327.93862108647,132801.90550403,132806.226910908,-4.3214068782384,229.203738839462,14999986.9925647,1.81623394693793,15.8676502147475,1067.57792280407,641.633464844669,231.390123270268,0.0372910015285015
10,0.078125,1327.93862108647,132801.90550403,132806.226910908,-4.3214068782384,232.349015287222,14999985.5133089,1.84115762184089,15.6528504872636,1069.33096083334,643.157228513306,234.390203258394,0.0372910015285015
11,0.0859375,1327.93862108647,132801.90550403,132806.226910908,-4.3214068782384,235.480485096473,14999984.0260264,1.86597189741624,15.444694005342,1071.06377547146,644.687532777911,237.411609433133,0.0372910015285015
12,0.09375,1327.93862108647,132801.90550403,132806.226910908,-4.3214068782384,238.598734887482,14999982.5306165,1.89068142212453,15.2428455904418,1072.77674799602,646.22202571993,240.445093664333,0.0372910015285015
13,0.1015625,1327.93862108647,132801.90550403,132806.226910908,-4.3214068782384,241.704231719622,14999981.0270044,1.91528989701203,15.0469989024226,1074.47021256436,647.759200986753,243.484070187967,0.0372910015285015
14,0.109375,1327.93862108647,132801.90550403,132806.226910908,-4.3214068782384,244.797356746368,14999979.5151335,1.93980034239679,14.856871786378,1076.14447200079,649.298092057875,246.523864531692,0.0372910015285015
15,0.1171875,1327.93862108647,132801.90550403,132806.226910908,-4.3214068782384,247.878428914948,14999977.9949607,1.96421528566737,14.6722027816668,1077.79980854336,650.838076188424,249.561173573055,0.0372910015285015
16,0.125,1327.93862108647,132801.90550403,132806.226910908,-4.3214068782384,250.947721698909,14999976.4664522,1.98853689387371,14.4927484458287,1079.4364911104,652.378748898416,252.59367752777,0.0372910015285015
17,0.1328125,1327.93862108647,132801.90550403,132806.226910908,-4.3214068782384,254.005474945449,14999974.9295817,2.01276706760675,14.3182812566724,1081.05478016665,653.919843782169,255.619761244865,0.0372910015285015
18,0.140625,1327.93862108647,132801.90550403,132806.226910908,-4.3214068782384,257.051903290983,14999973.3843275,2.0369075076843,14.1485879302027,1082.65493093689,655.461181392382,258.638314121895,0.0372910015285015
19,0.1484375,1327.93862108647,132801.90550403,132806.226910908,-4.3214068782384,260.087202161722,14999971.8306724,2.06095976270045,13.9834680422871,1084.2371954855,657.002636747779,261.648586548682,0.0372910015285015
20,0.15625,1327.93862108647,132801.90550403,132806.226910908,-4.3214068782384,263.111552071932,14999970.2686018,2.08492526308535,13.822732876052,1085.80182402123,658.544118748752,264.650086976451,0.0372910015285015
21,0.1640625,1327.93862108647,132801.90550403,132806.226910908,-4.3214068782384,266.125121720123,14999968.6981036,2.1088053456399,13.6662044402283,1087.34906567592,660.08555719125,267.64250816225,0.0372910015285015
22,0.171875,1327.93862108647,132801.90550403,132806.226910908,-4.3214068782384,269.128070234902,14999967.1191674,2.13260127133208,13.5137146195922,1088.87916892962,661.626894616947,270.625674338672,0.0372910015285015
23,0.1796875,1327.93862108647,132801.90550403,132806.226910908,-4.3214068782384,272.12054881793,14999965.5317844,2.15631423831591,13.3651044296166,1090.39238180067,663.168081232189,273.599503352196,0.0372910015285015
24,0.1875,1327.93862108647,132801.90550403,132806.226910908,-4.3214068782384,275.102701958013,14999963.935947,2.17994539155213,13.2202233550638,1091.88895188219,664.70907176626,276.563979446943,0.0372910015285015
