i,x1[i],Tcc,Calor cambra,Calor extreta pel fluid,Calor intercanviada amb l'aire exterior,T3[i],P3[i],v3[i],rho3[i],alfa3[i],T2[i],T4[i],Temps execucio (s)
0,0,1327.93862143698,132801.652632618,132810.676679016,-9.02404639744088,200,15000000,1.5848191492551,18.1846395481194,1049.77276367465,630.394702757634,210.485928299059,0.0940119996666908
1,0.000244140625,1327.93862143698,132801.652632618,132810.676679016,-9.02404639744088,200.106095994874,14999999.9553865,1.5856598687929,18.1749980215494,1049.83612141873,630.395366702075,210.486964100714,0.0940119996666908
2,0.00048828125,1327.93862143698,132801.652632618,132810.676679016,-9.02404639744088,200.212134140505,14999999.9107746,1.58650012993258,18.16537196211,1049.8994327962,630.396685479593,210.4890248457,0.0940119996666908
3,0.000732421875,1327.93862143698,132801.652632618,132810.676679016,-9.02404639744088,200.318114934853,14999999.8661642,1.58733993662005,18.1557612917664,1049.96269810763,630.398650103437,210.492099788821,0.0940119996666908
4,0.0009765625,1327.93862143698,132801.652632618,132810.676679016,-9.02404639744088,200.424038870237,14999999.8215551,1.58817929275649,18.1461659332816,1050.02591765003,630.40125170976,210.496178296812,0.0940119996666908
5,0.001220703125,1327.93862143698,132801.652632618,132810.676679016,-9.02404639744088,200.529906433405,14999999.7769473,1.58901820219895,18.1365858102064,1050.08909171665,630.40448155595,210.501249847162,0.0940119996666908
6,0.00146484375,1327.93862143698,132801.652632618,132810.676679016,-9.02404639744088,200.635718105596,14999999.7323407,1.58985666876081,18.1270208468692,1050.15222059745,630.408331018969,210.507304026939,0.0940119996666908
7,0.001708984375,1327.93862143698,132801.652632618,132810.676679016,-9.02404639744088,200.741474362604,14999999.687735,1.59069469621233,18.1174709683664,1050.21530457963,630.41279159372,210.514330531635,0.0940119996666908
8,0.001953125,1327.93862143698,132801.652632618,132810.676679016,-9.02404639744088,200.847175674846,14999999.6431304,1.59153228828113,18.1079361005528,1050.2783439458,630.417854891442,210.522319164026,0.0940119996666908
9,0.002197265625,1327.93862143698,132801.652632618,132810.676679016,-9.02404639744088,200.952822507421,14999999.5985265,1.59236944865271,18.098416170032,1050.34133897712,630.423512638119,210.531259833033,0.0940119996666908
10,0.00244140625,1327.93862143698,132801.652632618,132810.676679016,-9.02404639744088,201.058415320173,14999999.5539234,1.59320618097094,18.0889111041473,1050.40428994986,630.429756672913,210.541142552609,0.0940119996666908
11,0.002685546875,1327.93862143698,132801.652632618,132810.676679016,-9.02404639744088,201.163954567756,14999999.509321,1.59404248883853,18.0794208309717,1050.46719713745,630.43657894662,210.551957440626,0.0940119996666908
12,0.0029296875,1327.93862143698,132801.652632618,132810.676679016,-9.02404639744088,201.26944069969,14999999.4647191,1.59487837581753,18.0699452792998,1050.53006081098,630.443971520146,210.563694717785,0.0940119996666908
13,0.003173828125,1327.93862143698,132801.652632618,132810.676679016,-9.02404639744088,201.374874160425,14999999.4201177,1.59571384542981,18.0604843786379,1050.59288123785,630.451926563004,210.576344706531,0.0940119996666908
14,0.00341796875,1327.93862143698,132801.652632618,132810.676679016,-9.02404639744088,201.480255389396,14999999.3755166,1.59654890115751,18.0510380591957,1050.6556586819,630.460436351831,210.589897829979,0.0940119996666908
15,0.003662109375,1327.93862143698,132801.652632618,132810.676679016,-9.02404639744088,201.585584821088,14999999.3309157,1.59738354644352,18.0416062518772,1050.71839340443,630.469493268928,210.604344610854,0.0940119996666908
16,0.00390625,1327.93862143698,132801.652632618,132810.676679016,-9.02404639744088,201.690862885087,14999999.2863151,1.59821778469195,18.0321888882722,1050.78108566435,630.479089800813,210.619675670447,0.0940119996666908
17,0.004150390625,1327.93862143698,132801.652632618,132810.676679016,-9.02404639744088,201.796090006143,14999999.2417145,1.59905161926855,18.0227859006478,1050.84373571652,630.489218536804,210.635881727572,0.0940119996666908
18,0.00439453125,1327.93862143698,132801.652632618,132810.676679016,-9.02404639744088,201.901266604222,14999999.1971139,1.59988505350119,18.0133972219398,1050.906343813,630.49987216761,210.652953597542,0.0940119996666908
19,0.004638671875,1327.93862143698,132801.652632618,132810.676679016,-9.02404639744088,202.006393094567,14999999.1525132,1.60071809068028,18.0040227857446,1050.96891020383,630.511043483953,210.670882191157,0.0940119996666908
20,0.0048828125,1327.93862143698,132801.652632618,132810.676679016,-9.02404639744088,202.111469887746,14999999.1079123,1.60155073405923,17.9946625263109,1051.03143513472,630.522725375197,210.689658513694,0.0940119996666908
21,0.005126953125,1327.93862143698,132801.652632618,132810.676679016,-9.02404639744088,202.216497389716,14999999.0633111,1.60238298685486,17.9853163785316,1051.09391885089,630.534910828007,210.709273663918,0.0940119996666908
22,0.00537109375,1327.93862143698,132801.652632618,132810.676679016,-9.02404639744088,202.321476001867,14999999.0187096,1.60321485224786,17.9759842779361,1051.15636159138,630.547592925016,210.729718833099,0.0940119996666908
23,0.005615234375,1327.93862143698,132801.652632618,132810.676679016,-9.02404639744088,202.426406121082,14999998.9741076,1.60404633338317,17.9666661606819,1051.21876359596,630.560764843519,210.750985304036,0.0940119996666908
24,0.005859375,1327.93862143698,132801.652632618,132810.676679016,-9.02404639744088,202.531288139789,14999998.929505,1.60487743337041,17.9573619635473,1051.28112509888,630.574419854179,210.773064450104,0.0940119996666908
25,0.006103515625,1327.93862143698,132801.652632618,132810.676679016,-9.02404639744088,202.636122446009,14999998.8849019,1.60570815528433,17.9480716239236,1051.34344633356,630.58855131975,210.795947734292,0.0940119996666908
26,0.00634765625,1327.93862143698,132801.652632618,132810.676679016,-9.02404639744088,202.740909423412,14999998.840298,1.60653850216514,17.9387950798074,1051.40572752981,630.603152693826,210.819626708271,0.0940119996666908
27,0.006591796875,1327.93862143698,132801.652632618,132810.676679016,-9.02404639744088,202.845649451365,14999998.7956934,1.60736847701902,17.9295322697935,1051.46796891494,630.618217519595,210.844093011459,0.0940119996666908
28,0.0068359375,1327.93862143698,132801.652632618,132810.676679016,-9.02404639744088,202.950342904981,14999998.7510879,1.60819808281839,17.9202831330671,1051.53017071372,630.63373942862,210.8693383701,0.0940119996666908
29,0.007080078125,1327.93862143698,132801.652632618,132810.676679016,-9.02404639744088,203.054990155175,14999998.7064814,1.60902732250242,17.9110476093969,1051.59233314835,630.649712139631,210.895354596356,0.0940119996666908
30,0.00732421875,1327.93862143698,132801.652632618,132810.676679016,-9.02404639744088,203.159591568703,14999998.6618739,1.60985619897734,17.9018256391278,1051.65445643903,630.666129457335,210.922133587402,0.0940119996666908
31,0.007568359375,1327.93862143698,132801.652632618,132810.676679016,-9.02404639744088,203.264147508221,14999998.6172653,1.61068471511685,17.8926171631737,1051.71654080223,630.682985271242,210.949667324537,0.0940119996666908
32,0.0078125,1327.93862143698,132801.652632618,132810.676679016,-9.02404639744088,203.368658332322,14999998.5726555,1.61151287376251,17.8834221230109,1051.77858645284,630.70027355451,210.977947872301,0.0940119996666908
33,0.008056640625,1327.93862143698,132801.652632618,132810.676679016,-9.02404639744088,203.473124395594,14999998.5280445,1.61234067772409,17.8742404606707,1051.8405936031,630.7179883628,211.006967377604,0.0940119996666908
34,0.00830078125,1327.93862143698,132801.652632618,132810.676679016,-9.02404639744088,203.577546048658,14999998.4834321,1.61316812977997,17.8650721187332,1051.90256246275,630.736123833151,211.036718068862,0.0940119996666908
35,0.008544921875,1327.93862143698,132801.652632618,132810.676679016,-9.02404639744088,203.681923638219,14999998.4388183,1.61399523267747,17.8559170403202,1051.96449323895,630.75467418287,211.067192255141,0.0940119996666908
36,0.0087890625,1327.93862143698,132801.652632618,132810.676679016,-9.02404639744088,203.78625750711,14999998.394203,1.61482198913324,17.8467751690885,1052.02638613718,630.773633708433,211.098382325317,0.0940119996666908
37,0.009033203125,1327.93862143698,132801.652632618,132810.676679016,-9.02404639744088,203.890547994336,14999998.3495862,1.61564840183359,17.8376464492239,1052.08824135982,630.79299678441,211.130280747236,0.0940119996666908
38,0.00927734375,1327.93862143698,132801.652632618,132810.676679016,-9.02404639744088,203.994795435121,14999998.3049677,1.61647447343487,17.8285308254342,1052.15005910671,630.812757862393,211.16288006689,0.0940119996666908
39,0.009521484375,1327.93862143698,132801.652632618,132810.676679016,-9.02404639744088,204.09900016095,14999998.2603476,1.61730020656381,17.8194282429433,1052.2118395772,630.832911469949,211.196172907597,0.0940119996666908
40,0.009765625,1327.93862143698,132801.652632618,132810.676679016,-9.02404639744088,204.203162499612,14999998.2157256,1.61812560381785,17.8103386474845,1052.27358296583,630.853452209579,211.230151969194,0.0940119996666908
41,0.010009765625,1327.93862143698,132801.652632618,132810.676679016,-9.02404639744088,204.307282775246,14999998.1711018,1.61895066776549,17.8012619852947,1052.33528946674,630.874374757698,211.264810027234,0.0940119996666908
42,0.01025390625,1327.93862143698,132801.652632618,132810.676679016,-9.02404639744088,204.411361308379,14999998.1264762,1.61977540094663,17.792198203108,1052.39695927123,630.895673863623,211.300139932197,0.0940119996666908
43,0.010498046875,1327.93862143698,132801.652632618,132810.676679016,-9.02404639744088,204.515398415971,14999998.0818485,1.6205998058729,17.7831472481501,1052.45859256799,630.917344348584,211.336134608704,0.0940119996666908
44,0.0107421875,1327.93862143698,132801.652632618,132810.676679016,-9.02404639744088,204.619394411456,14999998.0372188,1.62142388502798,17.7741090681318,1052.52018954447,630.939381104732,211.372787054744,0.0940119996666908
45,0.010986328125,1327.93862143698,132801.652632618,132810.676679016,-9.02404639744088,204.723349604782,14999997.9925869,1.62224764086793,17.7650836112435,1052.58175038577,630.961779094181,211.410090340904,0.0940119996666908
46,0.01123046875,1327.93862143698,132801.652632618,132810.676679016,-9.02404639744088,204.827264302451,14999997.9479529,1.62307107582151,17.7560708261494,1052.64327527441,630.984533348045,211.448037609614,0.0940119996666908
