i,x1[i],Tcc,Calor cambra,Calor extreta pel fluid,Calor intercanviada amb l'aire exterior,T3[i],P3[i],v3[i],rho3[i],alfa3[i],T2[i],T4[i],Temps execucio (s)
0,0,1327.93861763828,132804.27331273,132794.537288787,9.73602394297571,200,15000000,1.5848191492551,18.1846395481194,1053.65178657431,631.540880442317,212.344686383198,0.0351010002195835
1,0.03125,1327.93861763828,132804.27331273,132794.537288787,9.73602394297571,213.225847663557,14999994.2753809,1.68962267729653,17.0566868954869,1061.23835642819,636.479142180769,221.406967036869,0.0351010002195835
2,0.0625,1327.93861763828,132804.27331273,132794.537288787,9.73602394297571,226.040014242597,14999988.4611221,1.79116409321607,16.0897402350309,1068.42870288403,642.404081924539,232.918987325241,0.0351010002195835
3,0.09375,1327.93861763828,132804.27331273,132794.537288787,9.73602394297571,238.59687515175,14999982.5255693,1.89066668601955,15.2429643951865,1075.2855810501,648.524308025398,244.995770463457,0.0351010002195835
4,0.125,1327.93861763828,132804.27331273,132794.537288787,9.73602394297571,250.946512868784,14999976.4595927,1.98852731588239,14.49281825197,1081.83546973206,654.682819324385,257.106305420117,0.0351010002195835
5,0.15625,1327.93861763828,132804.27331273,132794.537288787,9.73602394297571,263.110403940551,14999970.2601823,2.08491616633459,13.8227931863694,1088.09648300984,660.84783353591,269.107124288144,0.0351010002195835
6,0.1875,1327.93861763828,132804.27331273,132794.537288787,9.73602394297571,275.101418945909,14999963.9261227,2.17993522624469,13.2202850025996,1094.08496687676,667.011589962462,280.965345327903,0.0351010002195835
7,0.21875,1327.93861763828,132804.27331273,132794.537288787,9.73602394297571,286.929318982193,14999957.4568099,2.27366184461705,12.675308356162,1099.81687778958,673.170711737886,292.681675789644,0.0351010002195835
8,0.25,1327.93861763828,132804.27331273,132794.537288787,9.73602394297571,298.602459807278,14999950.8518873,2.36616223441346,12.1797924753478,1105.30780087442,679.322473134347,304.250477651689,0.0351010002195835
9,0.28125,1327.93861763828,132804.27331273,132794.537288787,9.73602394297571,310.127785966867,14999944.1112605,2.45749142598843,11.7271477220189,1110.57272042801,685.464060822785,315.666716098508,0.0351010002195835
10,0.3125,1327.93861763828,132804.27331273,132794.537288787,9.73602394297571,321.511032020352,14999937.2350653,2.54769486160655,11.3119374743285,1115.62599797229,691.592366241521,326.934074090932,0.0351010002195835
11,0.34375,1327.93861763828,132804.27331273,132794.537288787,9.73602394297571,332.757184817811,14999930.2235724,2.63681205857915,10.9296242348386,1120.48131707929,697.703132054047,338.049048550447,0.0351010002195835
12,0.375,1327.93861763828,132804.27331273,132794.537288787,9.73602394297571,343.870293359049,14999923.0772386,2.7248751025381,10.576398511373,1125.15135385217,703.786539185099,348.981286215235,0.0351010002195835
13,0.40625,1327.93861763828,132804.27331273,132794.537288787,9.73602394297571,354.852417263514,14999915.7969667,2.81190031489578,10.2490706464569,1129.64672302553,709.806203541879,359.606610924026,0.0351010002195835
14,0.4375,1327.93861763828,132804.27331273,132794.537288787,9.73602394297571,365.699505165724,14999908.3851043,2.89785559241463,9.94506594931724,1133.97214279003,715.598510684822,369.465433338025,0.0351010002195835
15,0.46875,1327.93861763828,132804.27331273,132794.537288787,9.73602394297571,376.385459778239,14999900.8492953,2.98253413547945,9.66271085897512,1138.11183998345,720.384665508065,376.890717760427,0.0351010002195835
16,0.5,1327.93861763828,132804.27331273,132794.537288787,9.73602394297571,386.799753868077,14999893.2175373,3.06506010393086,9.40254481182967,0,0,0,0.0351010002195835
