i,x1[i],Tcc,Calor cambra,Calor extreta pel fluid,Calor intercanviada amb l'aire exterior,T3[i],P3[i],v3[i],rho3[i],alfa3[i],T2[i],T4[i],Temps execucio (s)
0,0,1327.93862143585,132801.665587947,132810.23479543,-8.56920748342009,200,15000000,1.5848191492551,18.1846395481194,1049.8677019702,630.395922768643,210.487578636989,0.0476710014045238
1,0.0009765625,1327.93862143585,132801.665587947,132810.23479543,-8.56920748342009,200.424037519025,14999999.8215554,1.58817928204934,18.1461660556192,1050.12058241389,630.406328032745,210.503891295982,0.0476710014045238
2,0.001953125,1327.93862143585,132801.665587947,132810.23479543,-8.56920748342009,200.847173071425,14999999.6431309,1.59153226765132,18.107936335272,1050.37274207684,630.426579025343,210.535843192249,0.0476710014045238
3,0.0029296875,1327.93862143585,132801.665587947,132810.23479543,-8.56920748342009,201.2694369358,14999999.4647198,1.59487834599202,18.0699456172223,1050.62419889236,630.456146198199,210.582788513049,0.0476710014045238
4,0.00390625,1327.93862143585,132801.665587947,132810.23479543,-8.56920748342009,201.69085804567,14999999.286316,1.59821774634385,18.0321893209418,1050.87496997946,630.494528386442,210.644107908324,0.0476710014045238
5,0.0048828125,1327.93862143585,132801.665587947,132810.23479543,-8.56920748342009,202.111464051387,14999999.1079134,1.60155068781124,17.9946630459429,1051.12507168095,630.541251290404,210.719207393264,0.0476710014045238
6,0.005859375,1327.93862143585,132801.665587947,132810.23479543,-8.56920748342009,202.531281379125,14999998.9295063,1.60487737979813,17.9573625629806,1051.3745195999,630.595866038678,210.807517297549,0.0476710014045238
7,0.0068359375,1327.93862143585,132801.665587947,132810.23479543,-8.56920748342009,202.950335287091,14999998.7510892,1.60819802245335,17.9202838057197,1051.62332863441,630.657947828048,210.908491259204,0.0476710014045238
8,0.0078125,1327.93862143585,132801.665587947,132810.23479543,-8.56920748342009,203.368649919088,14999998.572657,1.61151280709507,17.8834228628386,1051.87151300999,630.727094636158,211.021605261082,0.0476710014045238
9,0.0087890625,1327.93862143585,132801.665587947,132810.23479543,-8.56920748342009,203.78624835556,14999998.3942047,1.61482191661531,17.8467759705461,1052.11908631171,630.802926003001,211.146356708101,0.0476710014045238
