i,x1[i],Tcc,Calor cambra,Calor extreta pel fluid,Calor intercanviada amb l'aire exterior,T3[i],P3[i],v3[i],rho3[i],alfa3[i],T2[i],T4[i]
21,0.02625,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,211.152717221451,14999995.1956149,1.67319488426051,17.224153175019,1056.48798396887,632.983092067542,214.921816786525
22,0.0275,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,211.674005729811,14999994.9658016,1.67732565133336,17.1817350764604,1056.79237860318,633.178358622612,215.272622876387
23,0.02875,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,212.194613234073,14999994.7358495,1.68145102220477,17.1395803966817,1057.09606042806,633.377175348362,215.631447485444
24,0.03,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,212.714558687075,14999994.5057547,1.68557114705921,17.0976852732927,1057.39904031439,633.579298146465,215.997858739455
25,0.03125,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,213.23386003048,14999994.2755134,1.68968616806848,17.0560459822579,1057.70132854548,633.78449962616,216.371447137665
26,0.0325,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,213.752534252139,14999994.0451219,1.69379621984631,17.0146589303265,1058.00293485122,633.992567965835,216.7518243938
27,0.03375,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,214.270597440136,14999993.814577,1.69790142987653,16.9735206479312,1058.30386844088,634.203305851916,217.138622337509
28,0.035,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,214.788064833696,14999993.5838753,1.70200191891654,16.9326277825274,1058.60413803373,634.416529489799,217.531491873066
29,0.03625,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,215.304950871141,14999993.3530138,1.7060978013773,16.8919770923425,1058.90375188802,634.632067681972,217.93010199229
30,0.0375,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,215.821269235085,14999993.1219897,1.71018918568144,16.8515654405088,1059.20271782779,634.849760968748,218.334138838818
31,0.03875,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,216.33703289501,14999992.8908002,1.71427617460066,16.8113897895564,1059.50104326857,635.06946082739,218.743304821029
32,0.04,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,216.852254147394,14999992.6594429,1.71835886557371,16.7714471962406,1059.7987352415,635.291028925649,219.157317771052
33,0.04125,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,217.366944653524,14999992.4279152,1.722437351006,16.7317348066849,1060.09580041606,635.514336426038,219.575910147425
34,0.0425,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,217.881115475137,14999992.1962149,1.72651171855205,16.6922498518173,1060.39224512098,635.739263337409,219.998828279139
35,0.04375,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,218.394777108012,14999991.9643398,1.73058205138167,16.6529896430813,1060.68807536447,635.965697910615,220.425831648863
36,0.045,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,218.907939513635,14999991.7322878,1.73464842843086,16.6139515684057,1060.98329685355,636.19353607527,220.856692213323
37,0.04625,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,219.420612149054,14999991.5000571,1.73871092463839,16.5751330884143,1061.27791501106,636.422680914831,221.291193758883
38,0.0475,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,219.932803995016,14999991.2676456,1.7427696111688,16.5365317328624,1061.57193499293,636.653042177388,221.729131290484
39,0.04875,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,220.444523582507,14999991.0350518,1.74682455562264,16.4981450972841,1061.86536170364,636.884535819755,222.170310452206
40,0.05,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,220.955779017765,14999990.802274,1.75087582223473,16.4599708398381,1062.15819981135,637.117083582597,222.614546977805
41,0.05125,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,221.466578005879,14999990.5693105,1.75492347206113,16.4220066783387,1062.45045376154,637.350612594477,223.061666169659
42,0.0525,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,221.976927873032,14999990.33616,1.75896756315541,16.3842503874615,1062.7421277904,637.585055002886,223.511502404645
43,0.05375,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,222.486835587488,14999990.1028209,1.76300815073494,16.3466997961112,1063.03322593723,637.820347630399,223.963898665551
44,0.055,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,222.99630777938,14999989.869292,1.76704528733771,16.3093527849428,1063.32375205571,638.056431654269,224.418706096693
45,0.05625,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,223.505350759375,14999989.6355721,1.77107902297024,16.2722072840256,1063.61370982539,638.293252307855,224.875783582479
46,0.0575,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,224.013970536288,14999989.4016598,1.7751094052471,16.2352612706424,1063.90310276176,638.530758602416,225.334997347735
