i,x1[i],Tcc,Calor cambra,Calor extreta pel fluid,Calor intercanviada amb l'aire exterior,T3[i],P3[i],v3[i],rho3[i],alfa3[i],T2[i],T4[i],Temps execucio (s)
0,0,1327.93857522707,132833.384113646,132781.412015902,51.972097743438,200,15000000,1.5848191492551,18.1846395481194,1064.36543689507,639.535628177772,227.430123922183,0.0355129987001419
1,0.125,1327.93857522707,132833.384113646,132781.412015902,51.972097743438,250.943414533084,14999976.3394394,1.9885027802635,14.492997075087,1090.83220957497,663.812507840047,274.801465332833,0.0355129987001419
2,0.25,1327.93857522707,132833.384113646,132781.412015902,51.972097743438,298.61447602277,14999950.6372416,2.36625748622809,12.1793021874811,1112.92035069939,688.406332876505,321.007566579822,0.0355129987001419
3,0.375,1327.93857522707,132833.384113646,132781.412015902,51.972097743438,343.879930107667,14999922.7926818,2.72495151714228,10.5761019221306,1131.62958603559,712.253724804016,363.234948921925,0.0355129987001419
4,0.5,1327.93857522707,132833.384113646,132781.412015902,51.972097743438,386.781663939631,14999892.8897779,3.06491682355616,9.40298436703504,0,0,0,0.0355129987001419
